"Country","Year","Cancer site","ICD10 code","RouteToDiagnosis","Stage","Count","% of known routes","% of all routes"
"England","2020","Lung - small cell","C33-C34 with ICD-O-3 8002, 8041, 8042, 8043, 8044, 8045","GP Referral","Stage I",32,0.0653061224489796,0.0623781676413255
"England","2020","Lung - small cell","C33-C34 with ICD-O-3 8002, 8041, 8042, 8043, 8044, 8045","GP Referral","Stage II",20,0.0408163265306122,0.0389863547758285
"England","2020","Lung - small cell","C33-C34 with ICD-O-3 8002, 8041, 8042, 8043, 8044, 8045","GP Referral","Stage III",126,0.257142857142857,0.245614035087719
"England","2020","Lung - small cell","C33-C34 with ICD-O-3 8002, 8041, 8042, 8043, 8044, 8045","GP Referral","Stage IV",312,0.636734693877551,0.608187134502924
"England","2020","Lung - small cell","C33-C34 with ICD-O-3 8002, 8041, 8042, 8043, 8044, 8045","GP Referral","Unknown",23,NA,0.0448343079922027
"England","2020","Lung - small cell","C33-C34 with ICD-O-3 8002, 8041, 8042, 8043, 8044, 8045","Emergency Presentation","Stage I",13,0.0116071428571429,0.010989010989011
"England","2020","Lung - small cell","C33-C34 with ICD-O-3 8002, 8041, 8042, 8043, 8044, 8045","Emergency Presentation","Stage II",10,0.00892857142857143,0.0084530853761623
"England","2020","Lung - small cell","C33-C34 with ICD-O-3 8002, 8041, 8042, 8043, 8044, 8045","Emergency Presentation","Stage III",169,0.150892857142857,0.142857142857143
"England","2020","Lung - small cell","C33-C34 with ICD-O-3 8002, 8041, 8042, 8043, 8044, 8045","Emergency Presentation","Stage IV",928,0.828571428571429,0.784446322907861
"England","2020","Lung - small cell","C33-C34 with ICD-O-3 8002, 8041, 8042, 8043, 8044, 8045","Emergency Presentation","Unknown",63,NA,0.0532544378698225
"England","2020","Lung - small cell","C33-C34 with ICD-O-3 8002, 8041, 8042, 8043, 8044, 8045","Other","Stage I",33,0.04860088365243,0.0458333333333333
"England","2020","Lung - small cell","C33-C34 with ICD-O-3 8002, 8041, 8042, 8043, 8044, 8045","Other","Stage II",26,0.0382916053019146,0.0361111111111111
"England","2020","Lung - small cell","C33-C34 with ICD-O-3 8002, 8041, 8042, 8043, 8044, 8045","Other","Stage III",181,0.266568483063328,0.251388888888889
"England","2020","Lung - small cell","C33-C34 with ICD-O-3 8002, 8041, 8042, 8043, 8044, 8045","Other","Stage IV",439,0.646539027982327,0.609722222222222
"England","2020","Lung - small cell","C33-C34 with ICD-O-3 8002, 8041, 8042, 8043, 8044, 8045","Other","Unknown",41,NA,0.0569444444444444
"England","2020","Ovarian","C56-C57 excluding C57.8-C57.9","Two Week Wait","Stage I",554,0.296891747052519,0.262186464742073
"England","2020","Ovarian","C56-C57 excluding C57.8-C57.9","Two Week Wait","Stage II",146,0.0782422293676313,0.0690960719356365
"England","2020","Ovarian","C56-C57 excluding C57.8-C57.9","Two Week Wait","Stage III",721,0.386387995712755,0.341221012778041
"England","2020","Ovarian","C56-C57 excluding C57.8-C57.9","Two Week Wait","Stage IV",445,0.238478027867095,0.210601041173687
"England","2020","Ovarian","C56-C57 excluding C57.8-C57.9","Two Week Wait","Unknown",247,NA,0.116895409370563
"England","2020","Ovarian","C56-C57 excluding C57.8-C57.9","GP Referral","Stage I",455,0.493492407809111,0.352713178294574
"England","2020","Ovarian","C56-C57 excluding C57.8-C57.9","GP Referral","Stage II",66,0.0715835140997831,0.0511627906976744
"England","2020","Ovarian","C56-C57 excluding C57.8-C57.9","GP Referral","Stage III",246,0.266811279826464,0.190697674418605
"England","2020","Ovarian","C56-C57 excluding C57.8-C57.9","GP Referral","Stage IV",155,0.168112798264642,0.12015503875969
"England","2020","Ovarian","C56-C57 excluding C57.8-C57.9","GP Referral","Unknown",368,NA,0.285271317829457
"England","2020","Ovarian","C56-C57 excluding C57.8-C57.9","Emergency Presentation","Stage I",217,0.15979381443299,0.109817813765182
"England","2020","Ovarian","C56-C57 excluding C57.8-C57.9","Emergency Presentation","Stage II",32,0.0235640648011782,0.0161943319838057
"England","2020","Ovarian","C56-C57 excluding C57.8-C57.9","Emergency Presentation","Stage III",506,0.37260677466863,0.256072874493927
"England","2020","Ovarian","C56-C57 excluding C57.8-C57.9","Emergency Presentation","Stage IV",603,0.444035346097202,0.305161943319838
"England","2020","Ovarian","C56-C57 excluding C57.8-C57.9","Emergency Presentation","Unknown",618,NA,0.312753036437247
"England","2020","Ovarian","C56-C57 excluding C57.8-C57.9","Other","Stage I",345,0.448051948051948,0.308586762075134
"England","2020","Ovarian","C56-C57 excluding C57.8-C57.9","Other","Stage II",74,0.0961038961038961,0.0661896243291592
"England","2020","Ovarian","C56-C57 excluding C57.8-C57.9","Other","Stage III",208,0.27012987012987,0.186046511627907
"England","2020","Ovarian","C56-C57 excluding C57.8-C57.9","Other","Stage IV",143,0.185714285714286,0.127906976744186
"England","2020","Ovarian","C56-C57 excluding C57.8-C57.9","Other","Unknown",348,NA,0.311270125223614
"England","2020","Pancreatic","C25","Two Week Wait","Stage I",176,0.0957562568008705,0.0817464003715745
"England","2020","Pancreatic","C25","Two Week Wait","Stage II",229,0.124591947769314,0.106363214119833
"England","2020","Pancreatic","C25","Two Week Wait","Stage III",316,0.171926006528836,0.146771946121691
"England","2020","Pancreatic","C25","Two Week Wait","Stage IV",1117,0.607725788900979,0.518810961449141
"England","2020","Pancreatic","C25","Two Week Wait","Unknown",315,NA,0.146307477937761
"England","2020","Pancreatic","C25","GP Referral","Stage I",175,0.154320987654321,0.112903225806452
"England","2020","Pancreatic","C25","GP Referral","Stage II",147,0.12962962962963,0.0948387096774193
"England","2020","Pancreatic","C25","GP Referral","Stage III",172,0.151675485008818,0.110967741935484
"England","2020","Pancreatic","C25","GP Referral","Stage IV",640,0.564373897707231,0.412903225806452
"England","2020","Pancreatic","C25","GP Referral","Unknown",416,NA,0.268387096774194
"England","2020","Pancreatic","C25","Emergency Presentation","Stage I",348,0.113207547169811,0.0825622775800712
"England","2020","Pancreatic","C25","Emergency Presentation","Stage II",363,0.118087182823682,0.0861209964412811
"England","2020","Pancreatic","C25","Emergency Presentation","Stage III",353,0.114834092387768,0.0837485172004745
"England","2020","Pancreatic","C25","Emergency Presentation","Stage IV",2010,0.653871177618738,0.476868327402135
"England","2020","Pancreatic","C25","Emergency Presentation","Unknown",1141,NA,0.270699881376038
"England","2020","Pancreatic","C25","Other","Stage I",141,0.141282565130261,0.0971743625086147
"England","2020","Pancreatic","C25","Other","Stage II",172,0.172344689378758,0.118538938662991
"England","2020","Pancreatic","C25","Other","Stage III",145,0.145290581162325,0.0999310820124052
"England","2020","Pancreatic","C25","Other","Stage IV",540,0.541082164328657,0.372157133011716
"England","2020","Pancreatic","C25","Other","Unknown",453,NA,0.312198483804273
"England","2020","Prostate","C61","Two Week Wait","Stage I",5960,0.328918322295806,0.295224886070933
"England","2020","Prostate","C61","Two Week Wait","Stage II",2859,0.157781456953642,0.141618783435704
"England","2020","Prostate","C61","Two Week Wait","Stage III",5181,0.285927152317881,0.25663760649891
"England","2020","Prostate","C61","Two Week Wait","Stage IV",4120,0.227373068432671,0.204081632653061
"England","2020","Prostate","C61","Two Week Wait","Unknown",2068,NA,0.102437091341391
"England","2020","Prostate","C61","GP Referral","Stage I",3238,0.456056338028169,0.370522943128504
"England","2020","Prostate","C61","GP Referral","Stage II",1369,0.192816901408451,0.156654079414121
"England","2020","Prostate","C61","GP Referral","Stage III",1587,0.223521126760563,0.181599725369035
